,Indice,id_anony,Anho,Cod.Car.Sec,Nota.Final,Aprobado,1P,2P,Taller,Firma,Derecho a Recuperatorio,Derecho a Final,Primer.Rec,Segundo.Rec,Primer Intento,Segundo Intento,Calificacion,Aprobo
16823,1269.0,es_7282,2019,ELE-PLS13 ,,N,11,5,9,25,True,False,42,0,0.0,0.0,0.0,False
16825,1271.0,es_6591,2019,ELE-PLS13 ,,N,5,17,7,29,True,False,24,0,0.0,0.0,0.0,False
16826,1272.0,es_7744,2019,ELE-PLS13 ,1F-3,S,16,26,8,50,True,True,0,0,3.0,0.0,3.0,True
16827,1273.0,es_7583,2019,MCT-PLS13 ,,N,7,2,6,15,True,False,0,0,0.0,0.0,0.0,False
16828,1274.0,es_6595,2019,CIV-PLS13 ,,N,4,6,9,19,True,False,0,0,0.0,0.0,0.0,False
16831,1277.0,es_6603,2019,IND-PLS13 ,,N,3,19,6,28,True,False,24,0,0.0,0.0,0.0,False
16832,1278.0,es_7302,2019,CIV-PLS13 ,,N,17,18,9,44,True,True,28,0,0.0,0.0,0.0,False
16833,1279.0,es_3579,2019,ELE-PLS13 ,1F-2,S,11,25,9,45,True,True,0,0,2.0,0.0,2.0,True
16834,1280.0,es_7595,2019,MEC-PLS13 ,,N,2,0,2,4,False,False,0,0,0.0,0.0,0.0,False
16835,1281.0,es_6611,2019,CIV-PLS13 ,1F-1,N,18,14,8,40,True,True,0,0,1.0,0.0,1.0,False
16839,1285.0,es_6623,2019,ELE-PLS13 ,,N,11,6,8,25,True,False,32,0,0.0,0.0,0.0,False
16842,1288.0,es_7603,2019,MEC-PLS13 ,1F-4,S,18,23,8,49,True,True,0,0,4.0,0.0,4.0,True
16843,1289.0,es_9735,2019,MCT-PLS13 ,1F-5,S,23,27,10,60,True,True,0,0,5.0,0.0,5.0,True
16845,1291.0,es_6638,2019,CIV-PLS13 ,,N,15,16,8,39,True,True,28,0,0.0,0.0,0.0,False
16846,1292.0,es_9611,2019,CIV-PLS13 ,1F-3,S,10,26,10,46,True,True,0,0,3.0,0.0,3.0,True
16850,1296.0,es_6652,2019,ELE-PLS13 ,,N,6,15,10,31,True,False,14,0,0.0,0.0,0.0,False
16852,1298.0,es_7607,2019,ECA-PLS13 ,,N,0,0,5,5,False,False,0,0,0.0,0.0,0.0,False
16853,1299.0,es_6654,2019,IND-PLS13 ,,N,9,9,9,27,True,False,26,0,0.0,0.0,0.0,False
16855,1301.0,es_9736,2019,ELE-PLS13 ,1F-4,S,10,34,6,50,True,True,0,0,4.0,0.0,4.0,True
16856,1302.0,es_6659,2019,CIV-PLS13 ,1F-3,S,16,21,9,46,True,True,0,0,3.0,0.0,3.0,True
16858,1304.0,es_7343,2019,CIV-PLS13 ,,N,14,14,3,31,False,False,12,0,0.0,0.0,0.0,False
16859,1305.0,es_7612,2019,ELE-PLS13 ,1F-1,N,14,18,9,41,True,True,0,0,1.0,0.0,1.0,False
16860,1306.0,es_6662,2019,ELE-PLS13 ,,N,13,9,8,30,True,False,16,0,0.0,0.0,0.0,False
16861,1307.0,es_9737,2019,MEC-PLS13 ,1F-4,S,22,19,10,51,True,True,0,0,4.0,0.0,4.0,True
16862,1308.0,es_6667,2019,CIV-PLS13 ,,N,16,18,8,42,True,True,0,0,0.0,0.0,0.0,False
16863,1309.0,es_6668,2019,CIV-PLS13 ,1F-1,N,9,25,7,41,True,True,0,0,1.0,0.0,1.0,False
16864,1310.0,es_6669,2019,ELE-PLS13 ,1F-2,S,17,20,6,43,True,True,0,0,2.0,0.0,2.0,True
16865,1311.0,es_9738,2019,CIV-PLS13 ,,N,4,17,8,29,True,False,6,0,0.0,0.0,0.0,False
16866,1312.0,es_7615,2019,MEC-PLS13 ,1F-1,N,15,14,8,37,True,True,0,0,1.0,0.0,1.0,False
16867,1313.0,es_9739,2019,CIV-PLS13 ,1F-5,S,17,27,10,54,True,True,0,0,5.0,0.0,5.0,True
16868,1314.0,es_9740,2019,CIV-PLS13 ,1F-5,S,17,28,9,54,True,True,0,0,5.0,0.0,5.0,True
16870,1316.0,es_7181,2019,CIV-PLS13 ,1F-3,S,9,29,8,46,True,True,0,0,3.0,0.0,3.0,True
16871,1317.0,es_7130,2019,IND-PLS13 ,1F-2,S,12,25,9,46,True,True,0,0,2.0,0.0,2.0,True
16872,1318.0,es_6686,2019,IND-PLS13 ,1F-5,S,23,25,9,57,True,True,0,0,5.0,0.0,5.0,True
16873,1319.0,es_6687,2019,IND-PLS13 ,1F-3,S,17,23,9,49,True,True,0,0,3.0,0.0,3.0,True
16874,1320.0,es_9741,2019,ELE-PLS13 ,1F-5,S,24,26,10,60,True,True,0,0,5.0,0.0,5.0,True
16875,1321.0,es_6692,2019,ELE-PLS13 ,1F-3,S,22,23,5,50,False,False,0,0,3.0,0.0,3.0,True
16876,1322.0,es_6693,2019,CIV-PLS13 ,1F-1,N,17,19,8,44,True,True,0,0,1.0,0.0,1.0,False
16877,1323.0,es_9614,2019,CIV-PLS13 ,1F-1,N,7,24,6,37,True,True,0,0,1.0,0.0,1.0,False
16879,1325.0,es_6694,2019,CGF-PLS13 ,,N,6,12,10,28,True,False,22,0,0.0,0.0,0.0,False
16880,1326.0,es_6695,2019,CIV-PLS13 ,1F-1,N,18,8,9,35,True,True,0,0,1.0,0.0,1.0,False
16881,1327.0,es_6697,2019,CIV-PLS13 ,1F-5,S,17,25,10,52,True,True,0,0,5.0,0.0,5.0,True
16882,1328.0,es_9742,2019,IND-PLS13 ,1F-4,S,21,34,6,61,True,True,0,0,4.0,0.0,4.0,True
16883,1329.0,es_9743,2019,CIV-PLS13 ,1F-5,S,19,33,8,60,True,True,0,0,5.0,0.0,5.0,True
16884,1330.0,es_9744,2019,CIV-PLS13 ,1F-1,N,11,26,10,47,True,True,0,0,1.0,0.0,1.0,False
16885,1331.0,es_9745,2019,CIV-PLS13 ,1F-5,S,24,23,9,56,True,True,0,0,5.0,0.0,5.0,True
16886,1332.0,es_9746,2019,CIV-PLS13 ,1F-2,S,15,23,8,46,True,True,0,0,2.0,0.0,2.0,True
16887,1333.0,es_9616,2019,CIV-PLS13 ,1F-3,S,17,29,7,53,True,True,0,0,3.0,0.0,3.0,True
16888,1334.0,es_9729,2019,CIV-PLS13 ,1F-1,N,18,17,7,42,True,True,0,0,1.0,0.0,1.0,False
16889,1335.0,es_9747,2019,MCT-PLS13 ,,N,15,1,9,25,True,False,26,0,0.0,0.0,0.0,False
16890,1336.0,es_9748,2019,ELE-PLS13 ,1F-5,S,24,30,10,64,True,True,0,0,5.0,0.0,5.0,True
16891,1337.0,es_6709,2019,ELE-PLS13 ,1F-1,N,6,21,8,35,True,True,0,0,1.0,0.0,1.0,False
16892,1338.0,es_9619,2019,CIV-PLS13 ,,N,11,21,9,41,True,True,16,0,0.0,0.0,0.0,False
16894,1340.0,es_6721,2019,CIV-PLS13 ,,N,3,20,5,28,False,False,30,0,0.0,0.0,0.0,False
16895,1341.0,es_9749,2019,CIV-PLS13 ,1F-5,S,17,19,8,44,True,True,0,0,5.0,0.0,5.0,True
16896,1342.0,es_8357,2019,CIV-PLS13 ,,N,0,0,3,3,False,False,0,0,0.0,0.0,0.0,False
16897,1343.0,es_3814,2019,MEC-PLS13 ,,N,8,11,4,23,False,False,6,0,0.0,0.0,0.0,False
16898,1344.0,es_9750,2019,ELE-PLS13 ,1F-4,S,19,27,10,56,True,True,0,0,4.0,0.0,4.0,True
16899,1345.0,es_9751,2019,MCT-PLS13 ,1F-5,S,24,30,10,64,True,True,0,0,5.0,0.0,5.0,True
16900,1346.0,es_6729,2019,CIV-PLS13 ,,N,6,0,2,8,False,False,0,0,0.0,0.0,0.0,False
16901,1347.0,es_6734,2019,CIV-PLS13 ,1F-1,N,7,25,10,42,True,True,0,0,1.0,0.0,1.0,False
16902,1348.0,es_6735,2019,MCT-PLS13 ,,N,7,14,9,30,True,False,36,0,0.0,0.0,0.0,False
16903,1349.0,es_7630,2019,ELE-PLS13 ,,N,11,0,3,14,False,False,0,0,0.0,0.0,0.0,False
16904,1350.0,es_9752,2019,MCT-PLS13 ,1F-4,S,19,23,9,51,True,True,0,0,4.0,0.0,4.0,True
16906,1352.0,es_9753,2019,CIV-PLS13 ,1F-3,S,14,21,9,44,True,True,0,0,3.0,0.0,3.0,True
16907,1353.0,es_6744,2019,CIV-PLS13 ,1F-3,S,18,24,10,52,True,True,0,0,3.0,0.0,3.0,True
16908,1354.0,es_9754,2019,CIV-PLS13 ,1F-5,S,18,25,10,53,True,True,0,0,5.0,0.0,5.0,True
16910,1356.0,es_9755,2019,ELE-PLS13 ,1F-4,S,18,23,10,51,True,True,0,0,4.0,0.0,4.0,True
16911,1357.0,es_9756,2019,CIV-PLS13 ,1F-4,S,10,27,8,45,True,True,0,0,4.0,0.0,4.0,True
16913,1359.0,es_9757,2019,CIV-PLS13 ,1F-2,S,16,20,9,45,True,True,0,0,2.0,0.0,2.0,True
16915,1361.0,es_6759,2019,MEC-PLS13 ,1F-1,N,16,18,3,37,False,False,0,0,1.0,0.0,1.0,False
