id_anony,Cod.Car.Sec,Cod.Car.Sec Codificado,Materia_1,Materia_1 codificada,Anho_F_1,ciclo_F_1,Recursante_1,P1_F_1,P2_F_1,T_F_1,NotaFinal_1,Materia_1 Nota=1,Materia_1 Nota=2,Materia_1 Nota=3,Materia_1 Nota=4,Materia_1 Nota=5,Abandono la Materia 1,Materia_2,Materia_2 codificada,Anho_F_2,ciclo_F_2,Recursante_2,P1_F_2,P2_F_2,T_F_2,NotaFinal_2,Materia_2 Nota=1,Materia_2 Nota=2,Materia_2 Nota=3,Materia_2 Nota=4,Materia_2 Nota=5,Abandono la Materia 2,Materia_3,Materia_3 codificada,Anho_F_3,ciclo_F_3,Recursante_3,P1_F_3,P2_F_3,T_F_3,NotaFinal_3,Materia_3 Nota=1,Materia_3 Nota=2,Materia_3 Nota=3,Materia_3 Nota=4,Materia_3 Nota=5,Abandono la Materia 3
4580,MCT-PLS13 ,28.0,CALCULO 1,33.0,2016.0,2.0,1.0,18.0,17.0,8.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,CALCULO 2,34.0,2017.0,1.0,1.0,18.0,19.0,5.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,CALCULO 3,35.0,2019.0,1.0,1.0,20.0,31.0,9.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0
4632,MCT-PLS13 ,28.0,CALCULO 1,33.0,2016.0,2.0,1.0,15.0,20.0,5.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,CALCULO 2,34.0,2017.0,1.0,1.0,22.0,9.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,CALCULO 3,35.0,2019.0,1.0,1.0,20.0,31.0,9.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0
4640,MCT-PLS13 ,28.0,CALCULO 1,33.0,2016.0,2.0,1.0,9.0,10.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,CALCULO 2,34.0,2017.0,1.0,1.0,19.0,7.0,9.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,CALCULO 3,35.0,2019.0,1.0,1.0,20.0,31.0,9.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0
4649,MCT-PLS13 ,28.0,CALCULO 1,33.0,2016.0,2.0,1.0,11.0,22.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,CALCULO 2,34.0,2017.0,1.0,1.0,20.0,27.0,8.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,CALCULO 3,35.0,2019.0,1.0,1.0,20.0,31.0,9.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0
4652,MCT-PLS13 ,28.0,CALCULO 1,33.0,2016.0,2.0,1.0,20.0,20.0,9.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,CALCULO 2,34.0,2017.0,1.0,1.0,16.0,22.0,7.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,CALCULO 3,35.0,2019.0,1.0,1.0,20.0,31.0,9.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0
4657,MCT-PLS13 ,28.0,CALCULO 1,33.0,2016.0,2.0,1.0,17.0,13.0,9.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,CALCULO 2,34.0,2017.0,1.0,1.0,23.0,13.0,7.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,CALCULO 3,35.0,2019.0,1.0,1.0,20.0,31.0,9.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0
4665,MCT-PLS13 ,28.0,CALCULO 1,33.0,2016.0,2.0,1.0,3.0,15.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,CALCULO 2,34.0,2017.0,1.0,1.0,20.0,3.0,7.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,CALCULO 3,35.0,2019.0,1.0,1.0,20.0,31.0,9.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0
4668,MCT-PLS13 ,28.0,CALCULO 1,33.0,2016.0,2.0,1.0,15.0,8.0,9.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,CALCULO 2,34.0,2019.0,1.0,1.0,21.0,14.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,CALCULO 3,35.0,2020.0,1.0,1.0,4.0,9.0,6.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0
5132,MCT-PLS13 ,28.0,CALCULO 1,33.0,2017.0,2.0,1.0,9.0,24.0,6.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,CALCULO 2,34.0,2018.0,1.0,1.0,15.0,5.0,7.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,CALCULO 3,35.0,2019.0,2.0,1.0,16.0,27.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0
5379,MCT-PLS13 ,28.0,CALCULO 1,33.0,2017.0,2.0,1.0,8.0,33.0,8.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,CALCULO 2,34.0,2018.0,1.0,1.0,19.0,22.0,8.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,CALCULO 3,35.0,2019.0,2.0,1.0,10.0,21.0,7.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0
