Anho,Ciclo,Cod.Asign,Asignatura,Aprobado,1P,2P,Taller,RecursaConFirma,DerechoAFinal,Primer.Rec,Segundo.Rec,id_anony,Calificacion
2017,1,13008,CALCULO 2,1,23,24,0,1,1,0,0,es_5792,5.0
2017,1,13008,CALCULO 2,1,20,16,0,1,1,0,0,es_5794,5.0
2017,1,13008,CALCULO 2,1,23,30,0,1,1,0,0,es_5796,5.0
2017,1,13008,CALCULO 2,1,17,27,0,1,1,0,0,es_5799,5.0
2017,1,13008,CALCULO 2,1,23,34,0,1,1,0,0,es_5803,5.0
2017,1,13008,CALCULO 2,1,16,19,0,1,1,0,0,es_5160,3.0
2017,1,13008,CALCULO 2,0,6,26,0,1,1,0,0,es_4107,1.0
2017,1,13008,CALCULO 2,1,13,24,0,1,1,0,0,es_5808,5.0
2017,1,13008,CALCULO 2,0,18,15,0,1,1,0,0,es_5168,1.0
2017,1,13008,CALCULO 2,0,11,16,0,1,1,0,0,es_5821,1.0
2017,1,13008,CALCULO 2,1,22,25,0,1,1,0,0,es_5822,5.0
2017,1,13008,CALCULO 2,1,23,21,0,1,1,0,0,es_5825,5.0
2017,1,13008,CALCULO 2,1,12,13,0,1,1,0,0,es_5177,2.0
2017,1,13008,CALCULO 2,1,19,14,0,1,1,0,0,es_5827,5.0
2017,1,13008,CALCULO 2,1,16,24,0,1,1,0,0,es_5835,2.0
2017,1,13008,CALCULO 2,1,22,20,0,1,1,0,0,es_5836,5.0
2017,1,13008,CALCULO 2,1,22,26,0,1,1,0,0,es_5839,5.0
2017,1,13008,CALCULO 2,1,22,31,0,1,1,0,0,es_5184,5.0
2017,1,13008,CALCULO 2,1,22,24,0,1,1,0,0,es_5841,5.0
2017,1,13008,CALCULO 2,1,22,10,0,1,1,0,0,es_5843,2.0
2017,1,13008,CALCULO 2,1,22,24,0,1,1,0,0,es_5844,5.0
2017,1,13008,CALCULO 2,1,22,30,0,1,1,0,0,es_5845,5.0
2017,1,13008,CALCULO 2,1,23,12,0,1,1,0,0,es_5189,3.0
2017,1,13008,CALCULO 2,1,0,0,0,1,1,0,0,es_4730,3.0
2017,1,13008,CALCULO 2,1,23,33,0,1,1,0,0,es_5848,5.0
2017,1,13008,CALCULO 2,0,20,18,0,1,1,0,0,es_5850,0.0
2017,1,13008,CALCULO 2,0,16,0,0,0,0,0,0,es_5194,0.0
2017,1,13008,CALCULO 2,0,19,10,0,0,0,0,0,es_5852,0.0
2017,1,13008,CALCULO 2,1,21,13,0,1,1,0,0,es_5195,3.0
2017,1,13008,CALCULO 2,0,19,10,0,0,0,0,0,es_5854,0.0
2017,1,13008,CALCULO 2,1,24,17,0,1,1,0,0,es_5855,4.0
2017,1,13008,CALCULO 2,1,21,16,0,1,1,0,0,es_5198,2.0
2017,1,13008,CALCULO 2,1,16,31,0,1,1,0,0,es_5858,5.0
2017,1,13008,CALCULO 2,1,20,22,0,1,1,0,0,es_4735,4.0
