1P,2P,Taller,Aprobado
12,21,9,1
0,15,4,0
22,15,6,0
5,10,4,0
14,12,4,0
9,17,9,0
9,18,5,0
12,11,6,0
18,16,8,0
8,7,2,0
5,12,4,0
5,13,5,0
7,13,2,0
8,15,6,0
3,18,3,0
9,10,3,0
16,11,5,0
15,14,6,1
17,14,7,0
20,32,9,1
11,14,4,0
9,6,2,0
21,28,6,1
7,16,7,0
13,18,4,1
19,0,6,0
11,12,2,0
16,17,5,1
16,17,3,1
11,19,5,0
8,11,4,0
12,21,9,1
6,14,7,0
13,17,7,1
15,18,7,1
7,10,3,0
5,10,4,0
15,0,7,0
3,21,2,0
18,17,3,0
12,17,6,1
20,23,6,1
21,24,4,1
9,9,5,0
9,13,8,0
14,20,7,1
20,20,3,1
14,13,5,0
15,16,6,0
5,18,9,0
8,26,3,0
5,22,3,0
21,18,3,0
8,18,5,0
10,8,5,0
7,8,8,0
7,11,5,0
8,7,7,0
13,15,4,0
13,18,4,0
16,12,7,0
10,19,6,0
11,9,7,0
7,22,6,0
12,13,4,0
9,16,5,0
11,4,5,0
11,18,3,0
8,9,5,0
9,6,3,0
20,25,9,1
6,14,5,0
16,5,6,0
10,14,5,0
4,14,7,0
18,16,2,1
9,20,6,0
13,7,7,0
13,14,5,0
11,9,5,0
21,33,10,1
5,10,3,0
12,15,3,0
11,15,2,0
20,25,6,1
13,23,5,0
11,16,4,0
11,24,5,0
19,25,7,1
8,11,6,0
14,19,3,1
11,7,6,0
20,12,7,0
7,12,5,0
18,21,5,1
11,12,3,0
22,27,10,1
12,18,5,1
0,15,3,0
14,5,7,0
14,8,5,0
8,12,6,0
10,22,3,0
18,14,7,0
8,16,6,0
17,12,3,0
10,16,3,0
9,9,5,0
10,16,4,0
13,3,6,0
19,17,9,1
17,15,9,0
22,20,5,1
22,21,7,1
10,21,4,0
7,9,6,0
12,6,6,0
7,18,2,0
5,10,5,0
11,8,9,0
11,17,3,0
21,21,8,1
24,24,4,1
14,20,4,0
10,23,4,0
13,9,3,0
24,28,9,1
13,25,7,1
4,20,5,0
5,24,7,0
17,16,6,0
8,23,6,1
0,15,5,0
6,9,2,0
11,18,3,0
12,4,6,0
14,18,6,0
18,21,5,1
7,16,6,0
0,22,4,0
5,10,2,0
19,14,7,0
19,11,6,0
17,20,8,1
12,20,8,0
5,16,6,0
10,7,3,0
7,15,5,0
20,23,4,1
16,17,4,1
11,10,2,0
13,24,7,1
17,16,5,0
20,20,3,0
4,11,7,0
14,27,5,1
12,13,3,0
9,19,7,1
19,17,9,1
7,12,5,0
20,16,3,1
12,9,3,0
12,12,2,0
15,11,10,0
7,10,10,0
14,7,8,0
7,10,10,0
11,6,8,0
18,18,6,0
15,18,10,1
13,13,8,0
11,5,6,0
16,11,8,0
15,0,3,0
15,2,8,0
13,10,7,0
10,12,7,0
15,4,6,0
13,8,6,0
6,17,6,0
