1P,2P,Taller,Aprobado
20,20,7,1
16,23,6,0
12,19,8,0
15,9,4,0
17,31,9,1
15,10,6,0
16,24,7,0
15,21,7,0
22,30,8,1
11,14,4,0
14,16,6,0
12,8,8,0
17,13,3,0
7,9,4,0
13,22,5,0
19,20,5,1
7,19,6,0
24,30,9,1
10,13,3,0
12,18,4,0
10,22,6,0
18,19,6,0
14,21,8,0
10,14,6,0
16,14,4,0
10,8,6,0
13,22,9,0
15,18,7,0
13,30,7,1
13,13,7,0
14,27,7,1
12,13,6,0
11,23,7,0
16,27,3,1
12,10,6,0
7,11,6,0
14,22,8,0
6,21,4,0
9,10,4,0
5,10,4,0
12,18,4,0
19,21,9,1
13,16,6,1
14,28,8,1
12,17,6,0
18,9,8,0
11,7,3,0
17,14,3,0
13,15,6,0
13,14,6,0
18,25,6,1
5,12,7,0
19,24,6,0
8,26,2,0
10,20,8,0
18,23,8,1
8,21,5,0
13,10,6,0
11,24,5,0
7,16,5,0
17,21,5,0
9,27,3,0
17,18,8,1
11,14,6,0
7,8,2,0
10,10,4,0
13,31,8,1
15,8,2,0
12,9,4,0
11,12,2,0
17,31,8,1
14,26,7,0
13,20,4,0
10,27,6,0
6,24,5,0
16,19,6,0
13,15,3,0
18,23,4,0
8,12,3,0
15,18,10,0
15,16,6,0
16,14,5,0
18,29,8,1
12,9,8,0
19,29,7,1
18,29,9,1
11,4,3,0
9,25,6,0
9,23,2,0
13,11,4,0
16,23,5,0
16,26,8,1
10,15,5,0
11,14,4,0
12,24,4,0
14,13,4,0
13,12,2,0
14,14,5,0
18,23,6,1
12,22,4,0
11,23,8,0
20,21,7,1
14,19,6,0
12,11,4,0
10,28,5,0
10,10,4,0
11,20,6,0
11,20,8,0
13,16,4,0
21,31,8,0
9,9,7,0
12,19,8,0
16,30,6,0
20,28,2,1
13,5,8,0
18,28,8,1
11,13,4,0
6,16,2,0
15,25,5,1
14,17,6,0
10,11,5,0
14,19,4,0
14,21,4,0
19,28,8,1
12,20,6,0
11,28,7,1
17,27,5,1
16,7,4,0
8,7,6,0
13,23,4,0
15,27,9,1
10,28,4,0
12,17,2,0
10,26,5,0
16,16,7,0
13,19,5,0
17,28,8,1
18,24,7,1
11,8,5,0
15,10,4,0
7,21,4,0
12,16,8,0
15,16,3,0
11,22,10,1
9,11,3,0
12,20,3,0
22,26,8,1
9,22,5,0
20,13,9,0
18,19,6,0
15,15,5,0
19,9,8,0
12,18,5,0
19,9,4,0
20,20,10,0
17,8,10,0
13,17,7,0
10,15,6,0
8,7,6,0
17,10,8,0
10,18,2,0
5,12,5,0
10,9,9,0
10,18,3,0
16,0,6,0
15,24,7,0
10,12,4,0
8,12,7,0
13,16,8,1
16,14,8,1
20,13,2,1
0,27,7,0
22,28,10,1
13,20,2,0
17,20,8,1
19,21,8,1
15,27,6,1
9,14,9,0
14,18,8,1
15,30,5,1
12,11,7,0
5,13,7,0
19,19,6,1
6,9,10,0
14,12,6,0
8,14,7,0
18,19,10,1
11,14,8,0
11,17,2,0
14,22,8,1
15,23,6,0
18,16,6,1
10,16,2,0
14,25,4,0
17,13,3,0
20,18,10,1
16,11,5,0
13,12,10,0
5,27,3,0
20,16,7,0
5,26,5,1
15,1,6,0
17,18,9,0
13,10,5,0
19,22,10,1
14,20,10,0
19,25,10,1
14,24,7,0
13,8,2,0
13,17,7,1
10,5,4,0
13,16,8,0
14,19,7,1
9,11,2,0
18,13,5,0
19,0,7,0
19,25,6,1
17,16,3,0
10,27,7,0
10,14,5,0
19,3,7,0
17,28,6,1
19,36,10,1
17,8,10,0
14,23,5,0
13,4,7,0
7,14,4,0
19,15,4,0
11,24,9,0
20,21,8,1
7,22,4,0
16,3,6,0
13,21,9,1
16,15,10,0
12,24,7,0
9,25,9,0
16,23,8,0
11,19,8,1
18,11,8,0
19,12,9,0
21,24,7,0
21,15,10,1
5,12,6,0
16,14,6,0
11,17,7,0
8,21,6,1
20,17,4,0
9,14,8,0
18,19,9,0
13,18,5,0
20,13,6,1
14,30,10,1
20,9,10,0
19,21,7,1
17,29,8,1
19,29,10,1
20,28,7,1
19,20,5,0
5,10,10,0
