,Unnamed: 0,Cod.Car.Sec,Aprobado,Anho.Firma,Primer.Par,Segundo.Par,AOT,Primer.Rec,Segundo.Rec,Nota.Final
90,4545,ELE-PLS13 ,0,2017,11,10,0,27,30,3F-1
91,4546,MCT-PLS13 ,1,2016,0,0,0,0,0,"1F-1,2F-2"
92,4547,CIV-PLS13 ,0,0,8,12,0,6,18,
93,4548,MCT-PLS13 ,1,2016,15,27,0,0,0,1F-3
94,4549,ELE-PLS13 ,0,0,0,0,0,0,0,
95,4550,MCT-PLS13 ,0,0,5,3,0,0,0,
96,4551,CIV-PLS13 ,0,0,0,0,0,0,0,
97,4552,CIV-PLS13 ,0,0,7,12,0,17,16,
98,4553,ELE-PLS13 ,0,2016,10,13,0,9,10,
99,4554,ELE-PLS13 ,0,0,12,11,0,14,20,
100,4555,MEC-PLS13 ,1,2017,18,20,0,0,0,1F-2
101,4556,IND-PLS13 ,0,0,11,12,0,24,20,
102,4557,MCT-PLS13 ,0,0,6,12,0,0,0,
103,4558,MCT-PLS13 ,0,0,4,2,0,0,0,
104,4559,MCT-PLS13 ,0,0,3,7,0,0,0,
105,4560,MCT-PLS13 ,0,0,0,15,0,0,0,
106,4561,CIV-PLS13 ,0,0,11,11,0,18,12,
107,4562,CIV-PLS13 ,0,0,14,0,0,0,0,
108,4563,CIV-PLS13 ,0,0,0,0,0,0,0,
109,4564,ELE-PLS13 ,1,2017,9,22,0,0,0,1F-2
110,4565,MCT-PLS13 ,0,0,13,6,0,0,0,
111,4566,MCT-PLS13 ,1,2017,16,30,0,0,0,1F-4
112,4567,IND-PLS13 ,0,0,7,0,0,0,0,
113,4568,CIV-PLS13 ,0,2017,14,15,0,11,0,
114,4569,CIV-PLS13 ,1,2016,4,27,0,22,0,2F-3
115,4570,CIV-PLS13 ,0,0,10,8,0,28,24,
116,4571,CIV-PLS13 ,1,2016,15,25,0,0,0,2F-4
117,4572,CIV-PLS13 ,0,0,5,14,0,11,0,
118,4573,CIV-PLS13 ,0,0,6,6,0,0,0,
119,4574,CIV-PLS13 ,1,2017,19,19,0,0,0,1F-3
120,4575,CIV-PLS13 ,1,2017,10,16,0,28,46,3F-3
121,4576,ELE-PLS13 ,1,2017,19,26,0,0,0,1F-5
122,4577,IND-PLS13 ,0,0,11,4,0,0,12,
123,4578,IND-PLS13 ,1,2017,16,18,0,0,0,1F-2
124,4579,ELE-PLS13 ,0,0,13,12,0,8,14,
125,4580,MCT-PLS13 ,0,0,7,9,0,15,20,
126,4581,MCT-PLS13 ,0,0,10,2,0,0,0,
127,4582,MCT-PLS13 ,0,2017,11,9,0,12,30,3F-1
128,4583,CIV-PLS13 ,1,2017,12,27,0,0,0,1F-2
129,4584,CIV-PLS13 ,0,0,0,23,0,10,21,
130,4585,CIV-PLS13 ,1,2017,19,31,0,0,0,1F-5
131,4586,ELE-PLS13 ,0,0,3,14,0,13,18,
132,4587,MEC-PLS13 ,1,2017,9,17,0,8,32,3F-2
133,4588,CIV-PLS13 ,0,0,6,12,0,18,14,
134,4589,MCT-PLS13 ,0,0,0,0,0,0,0,
135,4590,CIV-PLS13 ,0,2016,6,0,0,0,0,
136,4591,CIV-PLS13 ,0,0,6,9,0,7,2,
137,4592,ELE-PLS13 ,0,0,4,15,0,8,20,
138,4593,CIV-PLS13 ,0,0,0,0,0,0,0,
139,4594,MCT-PLS13 ,0,0,14,12,0,22,22,
140,4595,CIV-PLS13 ,0,0,3,5,0,0,0,
141,4596,ELE-PLS13 ,0,0,7,19,0,17,10,
142,4597,ELE-PLS13 ,1,2017,8,22,0,0,0,"1F-1,2F-2"
143,4598,ELE-PLS13 ,0,0,10,3,0,0,0,
144,4599,IND-PLS13 ,0,2017,14,9,0,18,32,3F-1
145,4600,MEC-PLS13 ,0,0,2,5,0,0,0,
146,4601,ELE-PLS13 ,0,0,5,0,0,0,0,
147,4602,CIV-PLS13 ,0,0,14,9,0,12,22,
